Index,nu_width,c_1S,c_2S,c_3S
0,399.99999999999994,-0.00044102987927376465,-0.0003387758777104294,-0.0003160290313658501
1,264.9817648920676,0.0014538318628462155,0.0011135530060678801,0.0010593435233998726
2,175.53833931328748,-0.0031701947518506103,-0.002419910899946924,-0.0023568284709463566
3,116.28614739364383,0.004769106448529784,0.003617014677357977,0.0036742985810612034
4,77.03427142216712,-0.0066365950282624726,-0.00499309437015406,-0.0053407207695308975
5,51.031692996551044,0.007394238208098626,0.00546986316599925,0.006457995524221569
6,33.80617018914065,-0.009059133568783129,-0.0065870718127354596,-0.008569959594252613
7,22.395046602400235,0.008274534499514067,0.005710385297752072,0.009462162538643541
8,14.835697433860293,-0.010826939894498884,-0.0072917456606627065,-0.013547227852085035
9,9.827973223572549,0.007184679663140737,0.003803601939257937,0.0143637661285054
10,6.5105842252355925,-0.013509390744116946,-0.007865821004988427,-0.02438809972594114
11,4.312965246203455,0.002677949285098294,-0.002314744248515851,0.024392996016243965
12,2.857142857142856,-0.020553287739292228,-0.010237290080565332,-0.05126977210419793
13,1.8927268920861968,-0.0106964373865622,-0.019777791481473843,0.044707765586337905
14,1.2538452808091962,-0.04180622210959902,-0.02288743494284204,-0.12425758116581496
15,0.8306153385260272,-0.0508055164589626,-0.07550517808136958,0.07300962908659425
16,0.5502447958726223,-0.10898839675027282,-0.09615352540822415,-0.3721938066860534
17,0.36451209283250735,-0.17139486061570872,-0.3085037449373295,-0.05275874236583978
18,0.2414726442081475,-0.2847366584547306,-0.5489418573050612,-1.810525103227655
19,0.15996461858857308,-0.29771745904806657,-0.7704430377098384,0.06458392044908391
20,0.10596926738471636,-0.08872863584213811,1.6099337163202054,7.73356445992167
21,0.07019980873980392,0.005934376281190773,0.524010308770497,-6.106885992208689
22,0.04650417303739708,-0.0022968199048627536,-0.07612196386366675,0.10516496534150241
23,0.030806894615738965,0.0006614733466878044,0.017734675496911847,-0.038547067435734786
24,0.020408163265306114,-0.00010557924989451284,-0.002551962425027936,0.006177156812194779
