Index,nu_width,c_1P,c_2P,c_3P
0,399.99999999999994,-4.942829433881629e-07,-3.1345240844660976e-06,-2.1459605926127116e-05
1,257.2216333670288,1.1863636724397534e-06,1.598605491959523e-05,0.00012083594492841343
2,165.40742168000548,-3.112841583224707e-06,-4.9930345589143136e-05,-0.00038249606217817425
3,106.36591793889974,4.169330097351765e-06,0.00011498484149246327,0.000906543696496215
4,68.39903786706786,-9.394731958146866e-06,-0.00023434712579477988,-0.0018401980732964671
5,43.98428060225112,9.095930146685736e-06,0.00042268035983647056,0.003386888023094173
6,28.28427124746189,-2.6585466961998363e-05,-0.0007506406449589632,-0.00592741135770367
7,18.188316122170594,1.496699558744244e-05,0.0012305701694876733,0.009967006439540542
8,11.69607095285146,-8.237470632886436e-05,-0.002105131656404881,-0.016573775124001346
9,7.521206186172783,2.548208643896981e-06,0.0032803886184697853,0.026937056909440756
10,4.836542350243913,-0.0002877010737596138,-0.005673463653033096,-0.04418831240106635
11,3.1101583079463686,-0.000166412554603837,0.008403658814500302,0.07076656018140097
12,1.9999999999999987,-0.0011513114506708328,-0.015363758955112229,-0.11673117497261729
13,1.2861081668351433,-0.0013796459032472134,0.020725824431227276,0.1846431934439219
14,0.8270371084000271,-0.005504774732523694,-0.043899458960954436,-0.3130649140964383
15,0.5318295896944986,-0.010125524102568126,0.0448561816046881,0.478778992341309
16,0.3419951893353392,-0.0351598252131883,-0.15537793464256497,-0.9068665961737852
17,0.21992140301125557,-0.09193018103648957,-0.015782949094075037,1.082241834785519
18,0.14142135623730942,-0.31751648817517386,-1.1319916904258185,-4.365573138129347
19,0.09094158061085293,-0.514323703985649,-0.28624855144847583,5.684908916342226
20,0.058480354764257274,-0.0808230205835537,1.8142922341314545,0.1833351689518702
21,0.037606030930863905,0.008719176487217232,-0.16626381959946834,-3.268486532661855
22,0.02418271175121955,-0.002355727746681471,0.0682220552936555,0.9372748064132316
23,0.015550791539731839,0.0006084346595748568,-0.021712081150545653,-0.27117362313737964
24,0.009999999999999992,-9.691865496956906e-05,0.0038988737400319664,0.04648015403292264
