Index,nu_width,c_1S,c_2S,c_3S
0,399.99999999999994,-0.0021869012090512535,-0.001498824240249687,0.0013323263791209993
1,272.51682762318444,0.008108440488693034,0.00555612590970901,-0.004956367422405896
2,185.66355334451114,-0.018661879045396602,-0.012785812737117477,0.01145691981801338
3,126.49110640673516,0.03040053878445741,0.020820511826482997,-0.018793192013020935
4,86.17738760127534,-0.04326818366228108,-0.02962233805885824,0.027002350911449525
5,58.71197070488278,0.05197001691192519,0.03554362478082941,-0.032936020842273726
6,40.00000000000001,-0.06198156119641537,-0.04235756151838121,0.04007178931389245
7,27.25168276231846,0.06362352011166636,0.043343962969064995,-0.04260025303724869
8,18.566355334451117,-0.07302146812622622,-0.049705240054482035,0.05080159943188574
9,12.649110640673522,0.06511896587124623,0.04382221120056836,-0.04924887573463037
10,8.617738760127537,-0.0813290058654777,-0.05501796757334777,0.0650705274228066
11,5.87119707048828,0.05557731065161959,0.035556738124239366,-0.05552836455664619
12,4.000000000000002,-0.09478021979978041,-0.06434522138083201,0.09527907514445307
13,2.7251682762318463,0.0271054271720175,0.009576958313133021,-0.06104091010243404
14,1.8566355334451126,-0.1278375396272357,-0.09374489979980943,0.17541528871925477
15,1.2649110640673527,-0.04122869197762179,-0.0673923677244131,-0.043237055482423806
16,0.8617738760127541,-0.205875106498278,-0.20435099454012579,0.44342769001236554
17,0.5871197070488282,-0.16906909502181874,-0.3111837952029525,0.18152808320282385
18,0.4000000000000003,-0.28941326968618314,-0.5332705904868218,1.5295926822497667
19,0.27251682762318474,-0.15033358783581188,-0.18562163607861545,-1.271204284724655
20,0.18566355334451132,-0.05204522112536831,1.3727060767739754,-6.086393503109728
21,0.12649110640673528,0.011625439498079556,0.3801556778582693,5.448094500841938
22,0.08617738760127544,-0.005145422094915776,-0.04444468559697293,0.10987343702496512
23,0.058711970704882835,0.0016124785001358638,0.00982590847200634,0.0017025915251887248
24,0.040000000000000036,-0.00026371977917418057,-0.0013415792907167082,-0.0011548101185767613
