Index,nu_width,c_1P,c_2P,c_3P
0,399.99999999999994,-1.07310070461449e-06,1.6145658774464073e-06,7.26991541462387e-06
1,264.9817648920676,1.8683199192105198e-06,-1.5073527115322915e-05,-4.9538444691071874e-05
2,175.53833931328748,-3.0830429219704064e-06,5.303672616668061e-05,0.00016646342525476383
3,116.28614739364383,-1.5935432704582937e-06,-0.0001396043673242567,-0.0004163678334385269
4,77.03427142216712,4.9900014206193235e-06,0.0002875393286971253,0.0008538891405895683
5,51.031692996551044,-2.801499031990826e-05,-0.0005518119731948592,-0.0015975349292828274
6,33.80617018914065,3.521442042284103e-05,0.0009371802096195469,0.002742066932997964
7,22.395046602400235,-0.00011085459956339221,-0.0016159755480934087,-0.004617185063957791
8,14.835697433860293,9.844769306361041e-05,0.002517037286412752,0.007364864370154314
9,9.827973223572549,-0.0003493547139452416,-0.004234590384630804,-0.011984934356383184
10,6.5105842252355925,0.00017731909870942386,0.006227073289150428,0.01841633491819856
11,4.312965246203455,-0.001081399484015757,-0.010718441390019292,-0.029972241694754875
12,2.857142857142856,1.4487519329697703e-05,0.014679266927818823,0.044558532537037725
13,1.8927268920861968,-0.0036180434610076054,-0.027286126890291643,-0.07462147200194708
14,1.2538452808091962,-0.0022270424039372424,0.032296864099002225,0.1043831308536134
15,0.8306153385260272,-0.014225326974562738,-0.07362281242173703,-0.19118411611182815
16,0.5502447958726223,-0.019650655383925658,0.05334652204496775,0.21682765984290234
17,0.36451209283250735,-0.07380508520383448,-0.25292527983736723,-0.5852293371372763
18,0.2414726442081475,-0.16024803593263995,-0.15681925071292632,-0.07775842324168848
19,0.15996461858857308,-0.4309805988059842,-1.4126972989063498,-3.2106382887001836
20,0.10596926738471636,-0.34560928226308985,0.9796407580371731,7.860203784918351
21,0.07019980873980392,-0.0038073104144586405,1.1062661813863095,-4.044801217218319
22,0.04650417303739708,-0.003523033129045282,-0.1629105162484386,-0.7655620650845214
23,0.030806894615738965,0.0012553406693529253,0.04263355628169994,0.16746662864386952
24,0.020408163265306114,-0.00022635386699053939,-0.006832038447752247,-0.025542098994787453
