Index,nu_width,c_1P,c_2P,c_3P
0,399.99999999999994,7.188311907503567e-06,-5.155935735304906e-06,5.440393547360356e-06
1,272.51682762318444,-1.9944635358475017e-05,4.005121202368831e-06,-6.4787447534981e-05
2,185.66355334451114,4.412369045783795e-05,1.3129876224496474e-05,0.00024946437436183024
3,126.49110640673516,-5.595813147535958e-05,-9.355313500205411e-05,-0.0006874961995221835
4,86.17738760127534,8.371178151872927e-05,0.00023046676210340415,0.001465679271543578
5,58.71197070488278,-5.6737193363565207e-05,-0.0005365446031103105,-0.0028297197059548923
6,40.00000000000001,0.00010322127615544517,0.0009153650609214025,0.0048576191403050025
7,27.25168276231846,3.682961583527157e-05,-0.0017325384091205754,-0.008215031804468748
8,18.566355334451117,0.00013683225358316687,0.00253120734456226,0.012824891082151013
9,12.649110640673522,0.00037754361596944303,-0.0046134771191794315,-0.020718746201674187
10,8.617738760127537,0.00037029117134136446,0.005999233259823628,0.03069411847235017
11,5.87119707048828,0.0015272380875209286,-0.011553019373338178,-0.049468837054373486
12,4.000000000000002,0.0016541131410488408,0.012819513816225099,0.06982082677582978
13,2.7251682762318463,0.005707890915485314,-0.029119419611510367,-0.11642678005436242
14,1.8566355334451126,0.008025603681104339,0.023018616143446136,0.15081604042223246
15,1.2649110640673527,0.022814715282889333,-0.07965143169790136,-0.28019310701189076
16,0.8617738760127541,0.040439936038470445,0.012825114595900173,0.27785785062012996
17,0.5871197070488282,0.10373530159854527,-0.2798239969989565,-0.7865594889696669
18,0.4000000000000003,0.20703398182476887,-0.2748463848753041,-0.039386238102082034
19,0.27251682762318474,0.39797603709754803,-1.1363262019674025,-2.7589127361441816
20,0.18566355334451132,0.2705244114250718,0.9686081718127668,7.508484743147613
21,0.12649110640673528,0.008184522114482494,1.024583720035498,-3.6503930935061235
22,0.08617738760127544,0.0016669361904719836,-0.11068546458187174,-1.1191979826604574
23,0.058711970704882835,-0.0006210401428768839,0.02799617799083826,0.204731061440261
24,0.040000000000000036,0.00010837861513438439,-0.004241216542365526,-0.02854505686705978
