Index,nu_width,c_1D,c_2D,c_3D
0,399.99999999999994,3.757535423930985e-08,2.2810083237697256e-06,1.616081994569342e-05
1,248.67562612667797,-1.789735213085856e-07,-1.1612538137468858e-05,-8.217620930729965e-05
2,154.59891757373833,5.322830522009777e-07,3.394467658665762e-05,0.00024029977723547905
3,96.11245656539018,-1.1653117134273803e-06,-7.718257217320926e-05,-0.0005460710853859519
4,59.752063287428875,2.415646311156035e-06,0.00015350506921165628,0.0010870274708868622
5,37.147204375905666,-4.167354284597149e-06,-0.00028471530343869615,-0.0020140698813295175
6,23.094010767585036,8.237094432104034e-06,0.0005053897156984297,0.003583313799825733
7,14.357293968513634,-1.1820795679652635e-05,-0.0008832096291815399,-0.006244302263936229
8,8.925772667762264,2.733136338369387e-05,0.0015089213515163426,0.010735882555488387
9,5.549055267050425,-2.5208797904508548e-05,-0.002611411684816206,-0.01841939115601648
10,3.449786982363263,0.00010388845199545695,0.004367628449876477,0.031377577149858504
11,2.1446948446071192,1.3047806456214258e-05,-0.007737874840878042,-0.054072551206742876
12,1.3333333333333344,0.0005319306069506493,0.012428937264911793,0.09189240099464308
13,0.8289187537555942,0.000892660336252801,-0.024161712881220494,-0.1626462199198295
14,0.515329725245795,0.004110982077609792,0.03311832558208077,0.27261381419238134
15,0.3203748552179676,0.013345024860775037,-0.09358463797560616,-0.5363424684644551
16,0.1991735442914298,0.05267114399486416,0.025980816270913594,0.75554871106007
17,0.12382401458635235,0.23874727470213053,-0.8518914783798105,-3.083897584774481
18,0.07698003589195021,0.6148814269431693,-0.6212093049439669,3.4219342501939582
19,0.04785764656171216,0.14523858804937462,1.7474718106560445,0.8023173843041845
20,0.029752575559207583,-0.02406148742576537,-0.17517243512805622,-2.906005616534352
21,0.018496850890168108,0.00955666823984215,0.08694517009472945,1.0621050110129844
22,0.01149928994121089,-0.003978314937789441,-0.03929119046337932,-0.4388679734742542
23,0.007148982815357072,0.0013729951060191883,0.014053677228277548,0.149951451175575
24,0.004444444444444453,-0.0002790264252114274,-0.002900274841996538,-0.030102212405105307
