Index,nu_width,c_1D,c_2D,c_3D
0,399.99999999999994,-4.025540313788216e-07,1.464711989875459e-07,1.9959190695703823e-05
1,248.67562612667797,2.0735735207353174e-06,-7.054291584374392e-07,-0.00010142165844007466
2,154.59891757373833,-6.042696260195031e-06,2.093713567312072e-06,0.0002966718194565721
3,96.11245656539018,1.38265307762359e-05,-4.618762197042595e-06,-0.0006740395217751255
4,59.752063287428875,-2.7297932585793145e-05,9.530886196487983e-06,0.001342799134172392
5,37.147204375905666,5.1225994427533135e-05,-1.6712546879320463e-05,-0.0024872354761695417
6,23.094010767585036,-8.918859394671039e-05,3.265561924775737e-05,0.004433473265466584
7,14.357293968513634,0.00016072980677379192,-4.915726856961212e-05,-0.007717919908650389
8,8.925772667762264,-0.0002596625731126339,0.00010970634844639291,0.013334482728929184
9,5.549055267050425,0.0004913688567699947,-0.00012112603433089076,-0.022790100359393738
10,3.449786982363263,-0.0006908021260275919,0.00043066352006341157,0.039350102471871734
11,2.1446948446071192,0.0016069481506960435,-0.00012500309831961303,-0.06685086568825838
12,1.3333333333333344,-0.0013684618486122834,0.0023787121460727466,0.1183579501321014
13,0.8289187537555942,0.006640903245104444,0.0023442072626751872,-0.19792136857149487
14,0.515329725245795,0.003685230319553582,0.022044484350714103,0.3880448484045746
15,0.3203748552179676,0.04908589005942391,0.05970234189411009,-0.5543552951676525
16,0.1991735442914298,0.1503333206634499,0.4389853171588688,2.13068775764015
17,0.12382401458635235,0.588578255333146,1.1920777286358686,-0.9146485316746152
18,0.07698003589195021,0.28517554330094985,-1.6636930408764647,-3.517125596690703
19,0.04785764656171216,-0.04420169461130138,-0.19815380363966628,4.103357467614257
20,0.029752575559207583,0.021020442482224972,0.052398257763311945,-1.277710854160682
21,0.018496850890168108,-0.010557475621055537,-0.02162657403132617,0.5804501021662454
22,0.01149928994121089,0.004858332197196883,0.009021571786023495,-0.2530432986786157
23,0.007148982815357072,-0.001761131531695338,-0.003092650729557171,0.08844951755136071
24,0.004444444444444453,0.0003673688148136351,0.0006237295260653335,-0.01797928734294855
