Index,nu_width,c_1D,c_2D,c_3D
0,399.99999999999994,8.611070450668846e-07,9.968553611118852e-06,-2.3655144430623406e-05
1,248.67562612667797,-4.539193134782285e-06,-5.091355447845874e-05,0.00012056811489076358
2,154.59891757373833,1.3154576098072353e-05,0.0001487665749081699,-0.00035255690736540456
3,96.11245656539018,-3.0484019491430468e-05,-0.0003390406709367269,0.0008027642003452255
4,59.752063287428875,5.940046468186444e-05,0.0006736764471659379,-0.0015979621354914558
5,37.147204375905666,-0.00011417004577198714,-0.0012551588934680653,0.002972710762484812
6,23.094010767585036,0.00019197237635759068,0.0022212952432597217,-0.005285159738181153
7,14.357293968513634,-0.00036845676683909117,-0.003925466400106041,0.009300046463658295
8,8.925772667762264,0.0005362930520236241,0.006634540758666171,-0.01591946976667346
9,5.549055267050425,-0.0012179730109783478,-0.011841788468453112,0.02802297841047663
10,3.449786982363263,0.00118768559358497,0.019022908341876154,-0.046746405324700764
11,2.1446948446071192,-0.004891867520617612,-0.037164963619716426,0.08701652023849794
12,1.3333333333333344,-0.0007846585396538409,0.049933517809047354,-0.13310311328180263
13,0.8289187537555942,-0.03167240982141958,-0.14508606433629187,0.3224270507719262
14,0.515329725245795,-0.06957962096311165,0.013916395398433335,-0.17647856458792305
15,0.3203748552179676,-0.38860889755338773,-1.2759119437206359,2.8305832124009442
16,0.1991735442914298,-0.5419887834183781,0.3769668462074283,-5.246181483713657
17,0.12382401458635235,-0.014068185250033175,1.3500688493371877,2.338181687894822
18,0.07698003589195021,-0.0077141854703735675,-0.35066852749914096,0.9440971227821991
19,0.04785764656171216,0.00593320334991512,0.17999766405478568,-0.4660601439842642
20,0.029752575559207583,-0.0037589605838677996,-0.09859490239313097,0.25051780519215444
21,0.018496850890168108,0.00213319792063786,0.05204190446120654,-0.13020124854787446
22,0.01149928994121089,-0.0010412435315565827,-0.024372183660918874,0.06021240957968041
23,0.007148982815357072,0.0003894604413888934,0.008887744666061617,-0.021742290717229912
24,0.004444444444444453,-8.270816632931699e-05,-0.001857292303444825,0.004509892880267113
