sector_id,sector,n,chi2,dof,chi2_per_dof,rms_mev
bb,Bottomonium (b_bbar),14,1.9424973325642045,10,0.19424973325642045,9.309134656058255
cc,Charmonium (c_cbar),14,3.638586042933796,10,0.36385860429337963,26.282655754552174
bc,B_c Meson (b_cbar),2,4.04058943342506e-13,0,4.04058943342506e-13,4.940390220592357e-06
cu,D Meson (c_ubar),1,1.0442848473874927e-14,-3,1.0442848473874927e-14,1.0219025625701761e-07
