Index,nu_width,c_1S,c_2S,c_3S
0,399.99999999999994,3.6393629083160586e-05,2.9878460131955982e-05,4.116155324096453e-05
1,248.67562612667797,-9.138295574620706e-05,-8.02498811066652e-05,-0.0001558089147689491
2,154.59891757373833,0.00018745869594929507,0.0001755933110014493,0.00042967853626246224
3,96.11245656539018,-0.00022667171535046955,-0.00024854625587496785,-0.0008831987763021706
4,59.752063287428875,0.0003371984836779218,0.00041176804492302257,0.0017353996724432206
5,37.147204375905666,-0.00026797190600909857,-0.0004894125368154524,-0.0030083782127244083
6,23.094010767585036,0.00047838929026720986,0.0008732545719126791,0.005363495825010977
7,14.357293968513634,-0.00014528150181411756,-0.000974568374942338,-0.008762649372427498
8,8.925772667762264,0.0007797500254706417,0.002067804797049364,0.015208202624399307
9,5.549055267050425,0.0003734362661677926,-0.0021377515056444285,-0.024221669975696563
10,3.449786982363263,0.0017547871666155981,0.005437705647716967,0.04201839715504097
11,2.1446948446071192,0.002311407655229482,-0.004830535424471686,-0.06575910681138564
12,1.3333333333333344,0.00589136592745118,0.01602581302282938,0.11665096593713783
13,0.8289187537555942,0.019225937893308273,-0.0008080539838686871,-0.16766542329907524
14,0.515329725245795,0.04045094777934155,0.06304077166177505,0.3389493436972188
15,0.3203748552179676,0.055503967127748424,0.0023364704787889943,-0.45753647993170043
16,0.1991735442914298,0.10266907316745857,0.2007902502382544,1.008718230936565
17,0.12382401458635235,0.17434748220887797,0.12957721397057517,-1.062363123558388
18,0.07698003589195021,0.33694185745872585,1.0782016732157202,4.507917482832752
19,0.04785764656171216,0.3171670815877585,-0.02171380566699469,-6.5052754616541195
20,0.029752575559207583,0.026932457815239546,-1.7724494753842939,-0.446389175301867
21,0.018496850890168108,-0.0006360448617356382,0.15542298044103225,4.079702889818446
22,0.01149928994121089,-0.00028804325411718463,-0.06399660863288961,-1.1196419714044958
23,0.007148982815357072,0.0001596670903655664,0.02008766975599658,0.31669029231635015
24,0.004444444444444453,-3.4061522604783374e-05,-0.0035067285567273294,-0.052600477756909444
