Sector,Property,State,Calculated,Experimental,Uncertainty,Absolute_Error,Percentage_Error,Pull_sigma,Chi2_contrib,MSE
BB,Mass (GeV),(1^1S) η_b,9.39877253258013,9.3987,22.884052335241,0.0725325801305132,0.0007717299214839,0.0031665469605071986,1.0027019653097377e-05,0.0052609751803893
BB,Mass (GeV),(2^1S) η_b,9.994111196449252,9.999,22.662005941630902,-4.888803550747056,0.0488929247999505,-0.21551714545380096,0.0464476399845548,23.900400157797023
BB,Mass (GeV),(3^1S) η_b,10.35906933637068,,26.377605174281697,,,,,
BB,Mass (GeV),(1^3S) Υ_b,9.46032406924,9.4603,21.4216391014434,0.0240692400002018,0.0002544236440726,0.0011223724280832034,1.2597198673213856e-06,0.0005793283141873
BB,Mass (GeV),(2^3S) Υ,10.018785635714318,10.0233,22.6690239510299,-4.514364285682859,0.0450387026795851,-0.19894894040954625,0.03958068089008118,20.379484903848912
BB,Mass (GeV),(3^3S) Υ,10.37689700086666,10.3552,26.4913812094633,21.697000866659263,0.2095275887154209,0.8184382286199302,0.6698411340665291,470.75984660781296
BB,Mass (GeV),(1^1P) h_b,9.901334628525063,9.8993,21.077582290593,2.0346285250649743,0.0205532565440483,0.09642199333957423,0.009297200799576896,4.139713235008073
BB,Mass (GeV),(2^1P) h_b,10.2727286298214,10.2598,24.7770571046904,12.928629821399085,0.1260124936294965,0.5213739768358977,0.2718308237216792,167.14946905876974
BB,Mass (GeV),(3^1P) h_b,10.5750087419215,,28.7817407740668,,,,,
BB,Mass (GeV),(1^3P_0) χ_b,9.855175982823482,9.8594,21.0855658842144,-4.224017176518657,0.0428425378473198,-0.20010251814029553,0.0400410177660873,17.84232110752465
BB,Mass (GeV),(2^3P_0) χ_b,10.232817617426242,10.2325,24.4004474275388,0.317617426242478,0.0031040061201317,0.013005951161052392,0.00016915476560368006,0.1008808294528959
BB,Mass (GeV),(3^3P_0) χ_b,10.537760139245034,,28.2559264767091,,,,,
BB,Mass (GeV),(1^3P_1) χ_b,9.89895288499943,9.8928,21.1108205937881,6.152884999430341,0.062195586683551,0.2911300181923199,0.0847566874926605,37.85799381621492
BB,Mass (GeV),(2^3P_1) χ_b,10.270387133336426,10.2555,24.7778566458609,14.887133336426215,0.1451624331961017,0.6003353770899632,0.3604025649857483,221.6267389765328
BB,Mass (GeV),(3^3P_1) χ_b,10.572649399550295,,28.7669918631358,,,,,
BB,Mass (GeV),(1^3P_2) χ_b,9.911995403780764,9.9122,21.0776941524011,-0.2045962192376293,0.0020640848574244,-0.009695858769387031,9.40096772758994e-05,0.0418596129263321
BB,Mass (GeV),(2^3P_2) χ_b,10.282115730191416,10.2687,24.8634053013717,13.415730191415063,0.1306468218120605,0.5391414547663427,0.2906735082475683,179.9818165688457
BB,Mass (GeV),(3^3P_2) χ_b,10.583874067879515,,28.903228071931302,,,,,
BB,Mass (GeV),(1^1D) η_b2,10.15465265018186,,23.1191929166054,,,,,
BB,Mass (GeV),(2^1D) η_b2,10.467784181994745,,27.06993811903,,,,,
BB,Mass (GeV),(3^1D) η_b2,10.74078762740558,,31.033550215855197,,,,,
BB,Mass (GeV),(1^3D_1) Υ,10.147115104736066,,23.095804146785,,,,,
BB,Mass (GeV),(2^3D_1) Υ,10.459969652121812,,26.994984911604803,,,,,
BB,Mass (GeV),(3^3D_1) Υ,10.732784306251965,,30.9276559295486,,,,,
BB,Mass (GeV),(1^3D_2) Υ,10.155366125304129,10.1637,23.1502789133966,-8.333874695873433,0.0819964648294758,-0.3596548670980601,0.1293516234273233,69.45346744651951
BB,Mass (GeV),(2^3D_2) Υ,10.468230704829644,,27.0959835240869,,,,,
BB,Mass (GeV),(3^3D_2) Υ,10.74106743981262,,31.0551919394923,,,,,
BB,Mass (GeV),(1^3D_3) Υ,10.157397630457815,,23.1086917436885,,,,,
BB,Mass (GeV),(2^3D_3) Υ,10.470814321343932,,27.084683288213203,,,,,
BB,Mass (GeV),(3^3D_3) Υ,10.744017756180671,,31.0644347382638,,,,,
BB,Leptonic Width (e+e-),(1^3S) Υ_b,1.5196,1.34,0.0575,0.17959999999999998,13.402985074626864,3.1234782608695646,9.756116446124759,0.03225615999999999
BB,Leptonic Width (e+e-),(2^3S) Υ,0.6648,0.612,0.0182,0.05279999999999996,8.62745098039215,2.901098901098899,8.416374833957239,0.0027878399999999954
BB,Leptonic Width (e+e-),(3^3S) Υ,0.4916,0.443,0.0122,0.04859999999999998,10.9706546275395,3.983606557377047,15.869121203977409,0.0023619599999999976
CC,Mass (GeV),(1^1S) η_c,2.9838664033070064,2.9839,52.4257589455566,-0.0335966929938535,0.0011259322696421,-0.0006407266852195903,4.105306851524839e-07,0.0011287377801232
CC,Mass (GeV),(2^1S) η_c,3.6376770173337247,3.6375,48.173145751061796,0.1770173337245495,0.0048664559099532,0.0036738146059931785,1.3496913759208812e-05,0.0313351364389485
CC,Mass (GeV),(3^1S) η_c,4.063811662673483,,54.0728773970447,,,,,
CC,Mass (GeV),(1^3S) J/ψ,3.097132252449526,3.0969,45.643117593841595,0.2322524495257383,0.0074995140148451,0.0050872232264221155,2.587984015544864e-05,0.0539412003107056
CC,Mass (GeV),(2^3S) ψ,3.684214436960922,3.6861,47.649401173791006,-1.885563039078164,0.0511533338509037,-0.03956288836034407,0.0015652221354130484,3.5553479743376823
CC,Mass (GeV),(3^3S) ψ,4.097508970723658,4.039,54.0859627688177,58.50897072365857,1.4486004140544335,1.0815925196651652,1.1698423785956409,3423.2996551419355
CC,Mass (GeV),(1^1P) h_c,3.5251573227798394,3.5254,44.629972907274194,-0.2426772201604699,0.006883679019699,-0.005436174598945424,2.955199427021944e-05,0.0588922331848131
CC,Mass (GeV),(2^1P) h_c,3.957375313043325,,50.841116402722,,,,,
CC,Mass (GeV),(3^1P) h_c,4.316161487569231,,57.8139207877998,,,,,
CC,Mass (GeV),(1^3P_0) χ_c,3.400365066148066,3.4147,47.336344263410105,-14.334933851933853,0.4198006809363589,-0.3027639000199288,0.09166597915527745,205.49032853931908
CC,Mass (GeV),(2^3P_0) χ_c,3.8426685723031455,,50.9211181368932,,,,,
CC,Mass (GeV),(3^3P_0) χ_c,4.205822147198185,,56.6872281047006,,,,,
CC,Mass (GeV),(1^3P_1) χ_c,3.522651887203246,3.5107,45.0122637503743,11.951887203246692,0.3404417125714727,0.2654596286348429,0.0704688144349487,142.847607719132
CC,Mass (GeV),(2^3P_1) χ_c,3.953444349034082,,51.036734330717195,,,,,
CC,Mass (GeV),(3^3P_1) χ_c,4.311432044727432,,57.906977958525296,,,,,
CC,Mass (GeV),(1^3P_2) χ_c,3.5516190354521497,3.5562,44.271475638631095,-4.580964547850286,0.128816279957547,-0.10344801689237271,0.01070149219896463,20.98523618866117
CC,Mass (GeV),(2^3P_2) χ_c,3.982675239596908,3.9222,50.9775160423872,60.475239596907485,1.5418703685917974,1.186083826917609,1.4067948444755207,3657.254604303367
CC,Mass (GeV),(3^3P_2) χ_c,4.341067021348519,,58.181255369159196,,,,,
CC,Mass (GeV),(1^1D) η_c2,3.808815770043457,,47.8398162681309,,,,,
CC,Mass (GeV),(2^1D) η_c2,4.181329517633753,,54.6907297782483,,,,,
CC,Mass (GeV),(3^1D) η_c2,4.508859140978098,,61.7057836492884,,,,,
CC,Mass (GeV),(1^3D_1) ψ,3.793996026102944,3.7737,48.278503032143604,20.296026102943895,0.5378282879652304,0.4203045326459832,0.17665590016275837,411.9286755713801
CC,Mass (GeV),(2^3D_1) ψ,4.162737598564822,4.191,54.797608959212,-28.26240143517822,0.6743593756902463,-0.5156738971728071,0.2659195682253908,798.7633348831639
CC,Mass (GeV),(3^3D_1) ψ,4.488469602760777,,61.592888240536105,,,,,
CC,Mass (GeV),(1^3D_2) ψ,3.813786999826316,3.8222,48.0946722731398,-8.413000173684182,0.2201088423861698,-0.17488802414880886,0.03058582099067435,70.77857192241008
CC,Mass (GeV),(2^3D_2) ψ,4.184982857475367,,54.9190040063533,,,,,
CC,Mass (GeV),(3^3D_2) ψ,4.511683943347737,,61.907646518292395,,,,,
CC,Mass (GeV),(1^3D_3) ψ,3.81210844479892,3.8427,47.5159250472625,-30.59155520107959,0.7960953288333618,-0.6436743612109667,0.414316683280346,935.8432496206996
CC,Mass (GeV),(2^3D_3) ψ,4.186687954490713,,54.5185949977446,,,,,
CC,Mass (GeV),(3^3D_3) ψ,4.515579798521493,,61.6406652517247,,,,,
CC,Two-Photon Width (γγ),(1^1S) η_c,14.8148,5.4,1.8619,9.4148,174.3481481481481,5.056555131854557,25.568749801484657,88.63845903999999
CC,Two-Photon Width (γγ),(2^1S) η_c,4.823,1.9,0.3204,2.9230000000000005,153.84210526315795,9.122971285892636,83.22860508322152,8.543929000000002
CC,Leptonic Width (e+e-),(1^3S) J/ψ,4.8854,5.53,0.4548,0.6446000000000005,11.65641952983726,1.417326297273528,2.0088138329430896,0.41550916000000065
CC,Leptonic Width (e+e-),(2^3S) ψ,2.0283,2.33,0.1305,0.30169999999999986,12.948497854077246,2.311877394636014,5.344777087829004,0.09102288999999991
CC,Leptonic Width (e+e-),(3^3S) ψ,1.4219,0.86,0.0744,0.5619,65.33720930232558,7.55241935483871,57.03903811134236,0.31573160999999994
CC,Two-Photon Width (γγ),(1^3P_0) χ_c_gg,2.4118,2.04,0.2008,0.3717999999999999,18.225490196078425,1.8515936254980074,3.4283989539848556,0.13823523999999993
CC,Two-Photon Width (γγ),(1^3P_2) χ_c_gg,0.6431,0.56,0.0535,0.08309999999999995,14.839285714285705,1.5532710280373823,2.4126508865403062,0.006905609999999992
CC,Leptonic Width (e+e-),(1^3D_1) ψ,0.0885,0.262,0.0016,0.17350000000000002,66.22137404580153,108.4375,11758.69140625,0.030102250000000004
BC,Mass (GeV),(1^1S) B_c,6.274500004481959,6.2745,18.6369655863502,4.4819596922707206e-06,7.143134420703995e-08,2.4014218789788205e-07,5.76682704083817e-14,2.008796268313945e-11
BC,Mass (GeV),(2^1S) B_c,6.871199994640247,6.8712,9.051641981403401,-5.359752641709292e-06,7.800315289482613e-08,-5.885496350641373e-07,3.4639067293412923e-13,2.8726948380309735e-11
