State,Calculated_GeV,Mass_Err_GeV,Exp_GeV,Abs_Err_MeV,Pct_Err,MSE_MeV2
(1^1S) D,1.8640000002470476,0.0,1.864,2.470474935734046e-07,1.3253620899860761e-08,6.103246408090139e-14
(1^3S) D^*,1.936860168561098,0.0,N/A,N/A,N/A,N/A
